====== NF616 Norm                               =======
        SRIM-2006.02
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2600 keV
============= TARGET MATERIAL ======================================
Layer  1 : NF616 Norm
Layer Width =     5.E+05 A ;
  Layer # 1- Density = 8.544E22 atoms/cm3 = 7.960 g/cm3
  Layer # 1- Fe = 90.5 Atomic Percent = 90.1 Mass Percent
  Layer # 1- Ni = 9.29 Atomic Percent = 9.72 Mass Percent
  Layer # 1- Cr = .170 Atomic Percent = .158 Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 53 /Ion
 Total Target Displacements = 56 /Ion
 Total Target Replacement Collisions = 3 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies / Angstrom / Ion  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Fe           Ni           Cr       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
500001.E-02  3156.00E-09  1526.40E-08  1760.00E-09  2000.00E-11  
100000.E-01  1140.00E-08  5946.80E-08  6956.00E-09  9200.00E-11  
150000.E-01  9720.00E-09  5752.00E-08  6424.00E-09  1320.00E-10  
200000.E-01  1114.00E-08  5614.40E-08  6372.00E-09  1000.00E-10  
250000.E-01  1103.20E-08  6549.60E-08  7312.00E-09  1360.00E-10  
300000.E-01  1104.40E-08  4432.40E-08  4884.00E-09  1320.00E-10  
350000.E-01  1079.60E-08  5268.00E-08  5648.00E-09  8000.00E-11  
400000.E-01  1133.60E-08  5169.20E-08  5660.00E-09  8800.00E-11  
450000.E-01  1118.00E-08  4831.60E-08  5356.00E-09  9200.00E-11  
500000.E-01  1110.80E-08  6373.60E-08  7060.00E-09  1520.00E-10  
550000.E-01  1170.40E-08  7762.40E-08  8664.00E-09  1360.00E-10  
600000.E-01  1203.60E-08  5570.40E-08  6496.00E-09  8400.00E-11  
650000.E-01  1170.00E-08  6090.00E-08  7404.00E-09  1840.00E-10  
700000.E-01  1240.80E-08  7211.20E-08  8308.00E-09  1400.00E-10  
750000.E-01  1262.80E-08  8237.60E-08  8984.00E-09  1440.00E-10  
800000.E-01  1259.60E-08  7039.60E-08  7656.00E-09  1520.00E-10  
